# samples,smse,msll,nlpd,rmse,mae
50.00000000,0.48893111,-0.31496177,5.02019632,34.17868944,25.52244502
54.00000000,0.47141057,-0.33201852,4.99566898,33.56071664,24.36213697
59.00000000,0.45924103,-0.35230905,4.97030674,33.12469651,23.51254415
64.00000000,0.44595625,-0.38395254,4.94314295,32.64207039,22.61723602
70.00000000,0.44084068,-0.42358939,4.91741563,32.45431169,22.30787211
74.00000000,0.44015730,-0.44130102,4.90456952,32.42914697,22.28086615
83.00000000,0.41053764,-0.46896917,4.86066126,31.31901238,21.61251033
88.00000000,0.39894654,-0.48133298,4.83836868,30.87371721,21.31115197
97.00000000,0.35861016,-0.54259164,4.77869827,29.27135731,19.41356259
102.00000000,0.33908254,-0.57560739,4.74405648,28.46323640,18.64943904
112.00000000,0.24288029,-0.67906998,4.64353090,24.08949529,16.54460951
117.00000000,0.22313030,-0.72209027,4.61644074,23.08930422,15.96074611
121.00000000,0.21833441,-0.75911986,4.60455352,22.83981906,15.76323965
130.00000000,0.17124281,-0.87118256,4.53856958,20.22729177,14.50603102
145.00000000,0.15311159,-0.92022433,4.48516593,19.12650439,13.41346519
149.00000000,0.14971074,-0.92627120,4.46963848,18.91289641,13.18699339
159.00000000,0.14541212,-0.95270890,4.42402959,18.63939772,12.97753111
169.00000000,0.14039403,-1.01479086,4.37961777,18.31495618,12.76718696
174.00000000,0.13843873,-1.05253229,4.36003993,18.18697082,12.69078396
176.00000000,0.13807365,-1.06557504,4.35264359,18.16297473,12.67857728
181.00000000,0.13785303,-1.09499580,4.33577655,18.14845767,12.67117332
184.00000000,0.13345937,-1.11389665,4.32142627,17.85690171,12.51785164
187.00000000,0.13489134,-1.12141972,4.31382058,17.95244525,12.53883224
190.00000000,0.12862794,-1.14548283,4.29867155,17.53069852,12.38645324
193.00000000,0.12434434,-1.15288288,4.28657901,17.23632121,12.27976717
195.00000000,0.12121930,-1.16130779,4.27826386,17.01835003,12.18497539
197.00000000,0.11877105,-1.17581386,4.27027735,16.84561516,12.10298049
199.00000000,0.11855994,-1.18566093,4.26504945,16.83063681,12.08847183
208.00000000,0.11819346,-1.22501244,4.23502030,16.80460440,12.10234861
212.00000000,0.11866798,-1.23561386,4.22208552,16.83830385,12.12845572
216.00000000,0.11585766,-1.24990777,4.20615534,16.63772502,11.90946847
218.00000000,0.11570341,-1.25562559,4.20084952,16.62664587,11.87736324
221.00000000,0.11651981,-1.26275138,4.19520161,16.68520108,11.86755512
223.00000000,0.11349134,-1.26664408,4.18611973,16.46694130,11.79884100
227.00000000,0.11237205,-1.27963191,4.17663151,16.38553831,11.73070496
232.00000000,0.11100536,-1.30385095,4.16490085,16.28559188,11.67510360
234.00000000,0.11076036,-1.31407851,4.16174073,16.26760995,11.66663187
