step,coverage,avg_rmse
0,0.0,33.0
1,0.001875,33.0
2,0.001875,33.0
3,0.0025,33.0
4,0.00375,33.0
5,0.00375,33.0
6,0.00375,33.0
7,0.00375,33.0
8,0.004375,33.0
9,0.005625,33.0
10,0.005625,33.0
11,0.00625,33.0
12,0.00625,33.0
13,0.006875,33.0
14,0.00875,33.0
15,0.00875,33.0
16,0.00875,33.0
17,0.00875,33.0
18,0.00875,33.0
19,0.009375,33.0
20,0.01,33.0
21,0.01,33.0
22,0.010625,33.0
23,0.010625,33.0
24,0.01125,33.0
25,0.011875,33.0
26,0.011875,33.0
27,0.011875,33.0
28,0.011875,33.0
29,0.0125,33.0
30,0.0125,33.0
31,0.01375,33.0
32,0.01375,33.0
33,0.01375,33.0
34,0.01375,33.0
35,0.014375,33.0
36,0.015,33.0
37,0.015,33.0
38,0.015,33.0
39,0.015625,33.0
40,0.016875,33.0
41,0.0175,33.0
42,0.0175,23.931884416427422
43,0.0175,23.931884416427422
44,0.018125,23.931884416427422
45,0.01875,23.931884416427422
46,0.01875,23.931884416427422
47,0.019375,23.931884416427422
48,0.020625,23.931884416427422
49,0.020625,23.931884416427422
50,0.02125,23.931884416427422
51,0.02125,23.931884416427422
52,0.021875,23.931884416427422
53,0.0225,23.931884416427422
54,0.0225,23.931884416427422
55,0.0225,23.931884416427422
56,0.023125,23.931884416427422
57,0.023125,23.931884416427422
58,0.02375,23.931884416427422
59,0.02375,23.931884416427422
60,0.02375,23.931884416427422
61,0.02375,23.931884416427422
62,0.02375,23.931884416427422
63,0.024375,23.931884416427422
64,0.025625,23.931884416427422
65,0.025625,23.931884416427422
66,0.025625,23.931884416427422
67,0.02625,23.931884416427422
68,0.02625,23.931884416427422
69,0.0275,23.931884416427422
70,0.02875,23.931884416427422
71,0.03,23.931884416427422
72,0.03,23.931884416427422
73,0.03,23.931884416427422
74,0.03,23.931884416427422
75,0.03,23.931884416427422
76,0.03,23.931884416427422
77,0.03,23.931884416427422
78,0.030625,23.931884416427422
79,0.030625,23.931884416427422
80,0.030625,23.931884416427422
81,0.030625,23.931884416427422
82,0.030625,23.931884416427422
83,0.03125,23.931884416427422
84,0.031875,23.931884416427422
